Date,"SMA(monthly_all$`Gross requirements`, n = 2)","SMA(monthly_all$`Gross requirements`, n = 3)","SMA(monthly_all$`Gross requirements`, n = 4)"
2018-07-24T00:00:00Z,NA,NA,NA
2018-08-07T00:00:00Z,2328.5,NA,NA
2018-09-04T00:00:00Z,2900,2711.3333333333335,NA
2018-10-02T00:00:00Z,3109.5,2847.3333333333335,2719
2018-11-06T00:00:00Z,1972,2473.6666666666665,2436
2018-12-04T00:00:00Z,1651,2014.6666666666667,2380.25
2019-01-01T00:00:00Z,2243,1896,2107.5
2019-01-29T00:00:00Z,2565,2410,2108
2019-02-26T00:00:00Z,2455.5,2432.3333333333335,2349.25
2019-03-26T00:00:00Z,2261.5,2422.3333333333335,2413.25
2019-04-23T00:00:00Z,2380,2309,2417.75
2019-05-21T00:00:00Z,2441.5,2413,2351.5
2019-06-18T00:00:00Z,2345.5,2365,2362.75
2019-07-16T00:00:00Z,2315,2369.6666666666665,2378.25
2019-08-13T00:00:00Z,2353.5,2306.3333333333335,2349.5
2019-09-10T00:00:00Z,2344.5,2369,2329.75
2019-10-08T00:00:00Z,2622,2511,2487.75
2019-11-05T00:00:00Z,2793,2662,2568.75
2019-12-03T00:00:00Z,2421,2562,2521.5
2019-12-31T00:00:00Z,2211.5,2388.3333333333335,2502.25
2020-01-28T00:00:00Z,2401.5,2301,2411.25
2020-02-25T00:00:00Z,2382.5,2362.6666666666665,2297
2020-03-24T00:00:00Z,2320.5,2373.6666666666665,2361
2020-04-21T00:00:00Z,2318,2307,2350.25
2020-05-19T00:00:00Z,2314,2328,2317.25
2020-06-16T00:00:00Z,2646,2524,2482
