Date,"SMA(monthly_all$`Gross requirements`, n = 2)","SMA(monthly_all$`Gross requirements`, n = 3)","SMA(monthly_all$`Gross requirements`, n = 4)"
2018-07-24,NA,NA,NA
2018-08-07,2900,NA,NA
2018-09-04,3109.5,2847.3333333333335,NA
2018-10-02,1972,2473.6666666666665,2436
2018-11-06,1768,2092.6666666666665,2438.75
2018-12-04,2217,1878.6666666666667,2094.5
2019-01-01,2243,2273.3333333333335,2005.5
2019-01-29,2565,2410,2391
2019-02-26,2455.5,2432.3333333333335,2349.25
2019-03-26,2261.5,2422.3333333333335,2413.25
2019-04-23,2380,2309,2417.75
2019-05-21,2441.5,2413,2351.5
2019-06-18,2345.5,2365,2362.75
2019-07-16,2315,2369.6666666666665,2378.25
2019-08-13,2353.5,2306.3333333333335,2349.5
2019-09-10,2344.5,2369,2329.75
2019-10-08,2622,2511,2487.75
2019-11-05,2793,2662,2568.75
2019-12-03,2421,2562,2521.5
2019-12-31,2211.5,2388.3333333333335,2502.25
2020-01-28,2401.5,2301,2411.25
2020-02-25,2382.5,2362.6666666666665,2297
2020-03-24,2320.5,2373.6666666666665,2361
2020-04-21,2318,2307,2350.25
2020-05-19,2314,2328,2317.25
2020-06-16,2646,2524,2482
