Date,"SMA(monthly_all$`Gross requirements`, n = 2)","SMA(monthly_all$`Gross requirements`, n = 3)","SMA(monthly_all$`Gross requirements`, n = 4)"
2018-07-24T00:00:00Z,NA,NA,NA
2018-08-07T00:00:00Z,1972,NA,NA
2018-09-04T00:00:00Z,1768,2092.6666666666665,NA
2018-10-02T00:00:00Z,2328.5,1953,2150.25
2018-11-06T00:00:00Z,2900,2711.3333333333335,2334
2018-12-04T00:00:00Z,1747,1939,2037.75
2019-01-01T00:00:00Z,19,1171.6666666666667,1459.5
2019-01-29T00:00:00Z,22,20.333333333333332,884.5
2019-02-26T00:00:00Z,21.5,21.333333333333332,20.25
2019-03-26T00:00:00Z,20,21,21
2019-04-23T00:00:00Z,20,20,20.75
2019-05-21T00:00:00Z,20,20,20
2019-06-18T00:00:00Z,20,20,20
2019-07-16T00:00:00Z,20,20,20
2019-08-13T00:00:00Z,20,20,20
2019-09-10T00:00:00Z,20,20,20
2019-10-08T00:00:00Z,22,21.333333333333332,21
2019-11-05T00:00:00Z,23.5,22.333333333333332,21.75
2019-12-03T00:00:00Z,20,21.333333333333332,21
2019-12-31T00:00:00Z,18.5,20,21
2020-01-28T00:00:00Z,20,19,20
2020-02-25T00:00:00Z,20,20,19.25
2020-03-24T00:00:00Z,20,20,20
2020-04-21T00:00:00Z,20,20,20
2020-05-19T00:00:00Z,20,20,20
2020-06-16T00:00:00Z,18,18.666666666666668,19
